Printed on: 8/9/2021 7:17:48 AM
Date	Part number	Serial number	Status	Wave.	Fiber IL	Refl.	IL A	Refl.A	IL B	Refl.B
8/6/2021 4:16:28 PM	temptest	060821-0069	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:17:29 PM	temptest	060821-0070	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:17:29 PM	temptest	060821-0070	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:18:30 PM	temptest	060821-0071	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:18:30 PM	temptest	060821-0071	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:19:31 PM	temptest	060821-0072	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:19:31 PM	temptest	060821-0072	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:20:32 PM	temptest	060821-0073	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:20:32 PM	temptest	060821-0073	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:21:33 PM	temptest	060821-0074	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:21:33 PM	temptest	060821-0074	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:22:34 PM	temptest	060821-0075	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:22:34 PM	temptest	060821-0075	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:23:35 PM	temptest	060821-0076	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:23:35 PM	temptest	060821-0076	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:24:37 PM	temptest	060821-0077	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:24:37 PM	temptest	060821-0077	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:25:38 PM	temptest	060821-0078	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:25:38 PM	temptest	060821-0078	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:26:39 PM	temptest	060821-0079	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:26:39 PM	temptest	060821-0079	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:27:40 PM	temptest	060821-0080	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:27:40 PM	temptest	060821-0080	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:28:41 PM	temptest	060821-0081	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:28:41 PM	temptest	060821-0081	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:29:42 PM	temptest	060821-0082	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:29:42 PM	temptest	060821-0082	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:30:43 PM	temptest	060821-0083	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:30:43 PM	temptest	060821-0083	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:31:45 PM	temptest	060821-0084	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:31:45 PM	temptest	060821-0084	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:32:46 PM	temptest	060821-0085	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:32:46 PM	temptest	060821-0085	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:33:47 PM	temptest	060821-0086	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:33:47 PM	temptest	060821-0086	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:34:48 PM	temptest	060821-0087	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:34:48 PM	temptest	060821-0087	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:35:49 PM	temptest	060821-0088	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:35:49 PM	temptest	060821-0088	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:36:50 PM	temptest	060821-0089	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:36:50 PM	temptest	060821-0089	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:37:51 PM	temptest	060821-0090	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:37:51 PM	temptest	060821-0090	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:38:52 PM	temptest	060821-0091	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:38:52 PM	temptest	060821-0091	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:39:54 PM	temptest	060821-0092	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:39:54 PM	temptest	060821-0092	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:40:55 PM	temptest	060821-0093	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:40:55 PM	temptest	060821-0093	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:41:56 PM	temptest	060821-0094	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:41:56 PM	temptest	060821-0094	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:42:57 PM	temptest	060821-0095	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:42:57 PM	temptest	060821-0095	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:43:58 PM	temptest	060821-0096	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:43:58 PM	temptest	060821-0096	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:44:59 PM	temptest	060821-0097	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:44:59 PM	temptest	060821-0097	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:46:00 PM	temptest	060821-0098	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:46:00 PM	temptest	060821-0098	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:47:01 PM	temptest	060821-0099	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:47:01 PM	temptest	060821-0099	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:48:03 PM	temptest	060821-0100	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:48:03 PM	temptest	060821-0100	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:49:04 PM	temptest	060821-0101	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:49:04 PM	temptest	060821-0101	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:50:05 PM	temptest	060821-0102	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:50:05 PM	temptest	060821-0102	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:51:06 PM	temptest	060821-0103	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:51:06 PM	temptest	060821-0103	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:52:07 PM	temptest	060821-0104	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:52:07 PM	temptest	060821-0104	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:53:08 PM	temptest	060821-0105	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:53:08 PM	temptest	060821-0105	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:54:09 PM	temptest	060821-0106	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:54:09 PM	temptest	060821-0106	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:55:10 PM	temptest	060821-0107	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:55:10 PM	temptest	060821-0107	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:56:12 PM	temptest	060821-0108	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:56:12 PM	temptest	060821-0108	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:57:13 PM	temptest	060821-0109	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:57:13 PM	temptest	060821-0109	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:58:14 PM	temptest	060821-0110	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:58:14 PM	temptest	060821-0110	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:59:15 PM	temptest	060821-0111	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
